urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:temperature
2013-01-01T18:50:00.000000+0100,3.948000
2013-01-01T19:00:00.000000+0100,3.545000
2013-01-01T19:10:00.000000+0100,3.718000
2013-01-01T19:20:00.000000+0100,3.141000
2013-01-01T19:30:00.000000+0100,3.141000
2013-01-01T19:40:00.000000+0100,3.055000
2013-01-01T19:50:00.000000+0100,3.178000
2013-01-01T20:00:00.000000+0100,3.259000
2013-01-01T20:10:00.000000+0100,3.156000
2013-01-01T20:20:00.000000+0100,2.682000
2013-01-01T20:30:00.000000+0100,2.984000
2013-01-01T20:40:00.000000+0100,3.326000
2013-01-01T20:50:00.000000+0100,2.930000
2013-01-01T21:00:00.000000+0100,2.925000
2013-01-01T21:10:00.000000+0100,3.094000
2013-01-01T21:20:00.000000+0100,3.105000
2013-01-01T21:30:00.000000+0100,3.705000
2013-01-01T21:40:00.000000+0100,3.352000
2013-01-01T21:50:00.000000+0100,3.088000
2013-01-01T22:00:00.000000+0100,2.969000
2013-01-01T22:10:00.000000+0100,3.145000
2013-01-01T22:20:00.000000+0100,3.238000
2013-01-01T22:30:00.000000+0100,2.911000
2013-01-01T22:40:00.000000+0100,3.221000
2013-01-01T22:50:00.000000+0100,3.427000
2013-01-01T23:00:00.000000+0100,3.407000
2013-01-01T23:10:00.000000+0100,3.101000
2013-01-01T23:20:00.000000+0100,3.401000
2013-01-01T23:30:00.000000+0100,3.482000
2013-01-01T23:40:00.000000+0100,3.340000
2013-01-01T23:50:00.000000+0100,3.134000
2013-01-02T00:00:00.000000+0100,3.198000
2013-01-02T00:10:00.000000+0100,2.901000
2013-01-02T00:20:00.000000+0100,2.617000
2013-01-02T00:30:00.000000+0100,2.429000
2013-01-02T00:40:00.000000+0100,2.292000
2013-01-02T00:50:00.000000+0100,2.283000
2013-01-02T01:00:00.000000+0100,2.165000
2013-01-02T01:10:00.000000+0100,2.034000
2013-01-02T01:20:00.000000+0100,1.967000
2013-01-02T01:30:00.000000+0100,1.948000
2013-01-02T01:40:00.000000+0100,1.957000
2013-01-02T01:50:00.000000+0100,1.930000
2013-01-02T02:00:00.000000+0100,1.994000
2013-01-02T02:10:00.000000+0100,1.973000
2013-01-02T02:20:00.000000+0100,1.930000
2013-01-02T02:30:00.000000+0100,1.887000
2013-01-02T02:40:00.000000+0100,1.863000
2013-01-02T02:50:00.000000+0100,1.883000
2013-01-02T03:00:00.000000+0100,1.914000
2013-01-02T03:10:00.000000+0100,1.822000
2013-01-02T03:20:00.000000+0100,1.801000
2013-01-02T03:30:00.000000+0100,1.900000
2013-01-02T03:40:00.000000+0100,1.874000
2013-01-02T03:50:00.000000+0100,1.858000
2013-01-02T04:00:00.000000+0100,1.889000
2013-01-02T04:10:00.000000+0100,1.918000
2013-01-02T04:20:00.000000+0100,1.902000
2013-01-02T04:30:00.000000+0100,1.832000
2013-01-02T04:40:00.000000+0100,1.784000
2013-01-02T04:50:00.000000+0100,1.810000
2013-01-02T05:00:00.000000+0100,1.889000
2013-01-02T05:10:00.000000+0100,1.905000
2013-01-02T05:20:00.000000+0100,1.910000
2013-01-02T05:30:00.000000+0100,1.897000
2013-01-02T05:40:00.000000+0100,1.876000
2013-01-02T05:50:00.000000+0100,1.891000
2013-01-02T06:00:00.000000+0100,1.874000
2013-01-02T06:10:00.000000+0100,1.895000
2013-01-02T06:20:00.000000+0100,1.792000
2013-01-02T06:30:00.000000+0100,1.719000
2013-01-02T06:40:00.000000+0100,1.747000
2013-01-02T06:50:00.000000+0100,1.763000
2013-01-02T07:00:00.000000+0100,1.798000
2013-01-02T07:10:00.000000+0100,1.855000
2013-01-02T07:20:00.000000+0100,1.747000
2013-01-02T07:30:00.000000+0100,1.690000
2013-01-02T07:40:00.000000+0100,1.763000
2013-01-02T07:50:00.000000+0100,1.963000
2013-01-02T08:00:00.000000+0100,1.847000
2013-01-02T08:10:00.000000+0100,1.888000
2013-01-02T08:20:00.000000+0100,2.164000
2013-01-02T08:30:00.000000+0100,2.222000
2013-01-02T08:40:00.000000+0100,2.249000
2013-01-02T08:50:00.000000+0100,2.167000
2013-01-02T09:00:00.000000+0100,2.053000
2013-01-02T09:10:00.000000+0100,1.972000
2013-01-02T09:20:00.000000+0100,2.016000
