urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:humidity:relative,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:rainfall,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:temperature,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:wind:velocity,urn:ogc:def:parameter:x-istsos:1.0:meteo:solar:radiation
2015-03-31T11:00:00.000000+0100,96.400000,0.500000,0.000000,6.000000,163.000000
2015-03-31T12:00:00.000000+0100,96.700000,0.200000,0.000000,6.000000,90.000000
2015-03-31T13:00:00.000000+0100,97.000000,1.600000,0.000000,6.000000,46.000000
2015-03-31T14:00:00.000000+0100,97.200000,0.100000,0.000000,5.000000,45.000000
2015-03-31T15:00:00.000000+0100,97.400000,2.800000,0.000000,6.000000,30.000000
2015-03-31T16:00:00.000000+0100,97.300000,2.800000,0.000000,6.000000,17.000000
2015-03-31T17:00:00.000000+0100,96.900000,1.800000,0.000000,6.000000,0.000000
2015-03-31T18:00:00.000000+0100,96.700000,2.400000,0.000000,4.000000,0.000000
2015-03-31T19:00:00.000000+0100,96.700000,0.300000,0.000000,3.000000,0.000000
2015-03-31T20:00:00.000000+0100,96.700000,0.400000,0.000000,3.000000,0.000000
2015-03-31T21:00:00.000000+0100,97.100000,0.200000,0.000000,2.000000,0.000000
2015-03-31T22:00:00.000000+0100,97.500000,0.100000,0.000000,1.000000,0.000000
2015-03-31T23:00:00.000000+0100,97.700000,0.100000,0.000000,1.000000,0.000000
2015-04-01T00:00:00.000000+0100,98.000000,0.100000,0.000000,2.000000,0.000000
2015-04-01T01:00:00.000000+0100,98.100000,0.000000,0.000000,3.000000,0.000000
2015-04-01T02:00:00.000000+0100,97.800000,0.000000,0.000000,4.000000,0.000000
2015-04-01T03:00:00.000000+0100,96.500000,0.000000,0.000000,5.000000,0.000000
2015-04-01T04:00:00.000000+0100,96.700000,0.100000,0.000000,6.000000,0.000000
2015-04-01T05:00:00.000000+0100,96.200000,0.000000,0.000000,6.000000,0.000000
2015-04-01T06:00:00.000000+0100,94.600000,0.000000,0.000000,6.000000,13.000000
2015-04-01T07:00:00.000000+0100,93.300000,0.000000,0.000000,6.000000,29.000000
2015-04-01T08:00:00.000000+0100,92.700000,0.000000,0.000000,7.000000,94.000000
2015-04-01T09:00:00.000000+0100,89.000000,0.000000,0.000000,7.000000,278.000000
2015-04-01T10:00:00.000000+0100,83.700000,0.300000,0.000000,7.000000,482.000000
2015-04-01T11:00:00.000000+0100,79.500000,0.400000,0.000000,7.000000,348.000000
2015-04-01T12:00:00.000000+0100,78.800000,0.500000,0.000000,7.000000,337.000000
2015-04-01T13:00:00.000000+0100,78.100000,0.200000,0.000000,6.000000,214.000000
2015-04-01T14:00:00.000000+0100,77.900000,0.100000,0.000000,5.000000,133.000000
2015-04-01T15:00:00.000000+0100,78.100000,0.000000,0.000000,6.000000,106.000000
2015-04-01T16:00:00.000000+0100,78.500000,0.000000,0.000000,5.000000,39.000000
2015-04-01T17:00:00.000000+0100,78.800000,0.000000,0.000000,6.000000,7.000000
2015-04-01T18:00:00.000000+0100,82.400000,0.000000,0.000000,5.000000,0.000000
2015-04-01T19:00:00.000000+0100,83.800000,0.000000,0.000000,5.000000,0.000000
2015-04-01T20:00:00.000000+0100,85.600000,0.000000,0.000000,4.000000,0.000000
2015-04-01T21:00:00.000000+0100,86.800000,0.000000,0.000000,3.000000,0.000000
2015-04-01T22:00:00.000000+0100,87.500000,0.000000,0.000000,2.000000,0.000000
2015-04-01T23:00:00.000000+0100,87.600000,0.000000,0.000000,2.000000,0.000000
2015-04-02T00:00:00.000000+0100,91.200000,0.000000,0.000000,3.000000,0.000000
2015-04-02T01:00:00.000000+0100,91.900000,0.000000,0.000000,2.000000,0.000000
