urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:temperature
2015-05-04T11:30:00.000000+0200,19.320000
2015-05-04T11:40:00.000000+0200,19.660000
2015-05-04T11:50:00.000000+0200,19.680000
2015-05-04T12:00:00.000000+0200,19.840000
2015-05-04T12:10:00.000000+0200,20.060000
2015-05-04T12:20:00.000000+0200,20.310000
2015-05-04T12:30:00.000000+0200,20.470000
2015-05-04T12:40:00.000000+0200,20.820000
2015-05-04T12:50:00.000000+0200,20.810000
2015-05-04T13:00:00.000000+0200,21.060000
2015-05-04T13:10:00.000000+0200,21.240000
2015-05-04T13:20:00.000000+0200,21.740000
2015-05-04T13:30:00.000000+0200,21.870000
2015-05-04T13:40:00.000000+0200,22.000000
2015-05-04T13:50:00.000000+0200,21.860000
2015-05-04T14:00:00.000000+0200,21.040000
2015-05-04T14:10:00.000000+0200,21.210000
2015-05-04T14:20:00.000000+0200,21.030000
2015-05-04T14:30:00.000000+0200,21.850000
2015-05-04T14:40:00.000000+0200,22.260000
2015-05-04T14:50:00.000000+0200,21.920000
2015-05-04T15:00:00.000000+0200,22.540000
2015-05-04T15:10:00.000000+0200,22.740000
2015-05-04T15:20:00.000000+0200,22.840000
2015-05-04T15:30:00.000000+0200,22.930000
2015-05-04T15:40:00.000000+0200,23.010000
2015-05-04T15:50:00.000000+0200,23.080000
2015-05-04T16:00:00.000000+0200,23.320000
2015-05-04T16:10:00.000000+0200,23.490000
2015-05-04T16:20:00.000000+0200,22.800000
2015-05-04T16:30:00.000000+0200,22.860000
2015-05-04T16:40:00.000000+0200,23.000000
2015-05-04T16:50:00.000000+0200,22.720000
2015-05-04T17:00:00.000000+0200,22.420000
2015-05-04T17:10:00.000000+0200,22.240000
2015-05-04T17:20:00.000000+0200,22.070000
2015-05-04T17:30:00.000000+0200,21.820000
2015-05-04T17:40:00.000000+0200,21.580000
2015-05-04T17:50:00.000000+0200,21.410000
2015-05-04T18:00:00.000000+0200,21.320000
2015-05-04T18:10:00.000000+0200,21.210000
2015-05-04T18:20:00.000000+0200,21.280000
2015-05-04T18:30:00.000000+0200,21.070000
2015-05-04T18:40:00.000000+0200,20.850000
2015-05-04T18:50:00.000000+0200,20.560000
2015-05-04T19:00:00.000000+0200,19.980000
2015-05-04T19:10:00.000000+0200,19.570000
2015-05-04T19:20:00.000000+0200,19.380000
2015-05-04T19:30:00.000000+0200,19.440000
2015-05-04T19:40:00.000000+0200,19.040000
2015-05-04T19:50:00.000000+0200,18.720000
2015-05-04T20:00:00.000000+0200,18.790000
2015-05-04T20:10:00.000000+0200,18.300000
2015-05-04T20:20:00.000000+0200,17.680000
2015-05-04T20:30:00.000000+0200,17.530000
2015-05-04T20:40:00.000000+0200,17.450000
2015-05-04T20:50:00.000000+0200,16.640000
2015-05-04T21:00:00.000000+0200,16.260000
2015-05-04T21:10:00.000000+0200,15.390000
2015-05-04T21:20:00.000000+0200,15.140000
2015-05-04T21:30:00.000000+0200,14.840000
2015-05-04T21:40:00.000000+0200,14.700000
2015-05-04T21:50:00.000000+0200,14.250000
