from|to|low_val|up_val|A|B|C|K
2001-01-01T00:00+00:00|2009-01-01T00:00+00:00|0|1000|1.224|0|1.598|0
2009-11-01T00:00+00:00|2031-01-01T00:00+00:00|0|0.405|2.758|0|1.853|0
2009-11-01T00:00+00:00|2031-01-01T00:00+00:00|0.405|1000|38.588|0.405|1.622|0
