from|to|low_val|up_val|A|B|C|K
1986-01-01T00:00+00:00|1996-07-09T00:00+00:00|0|1000|33.573|0.14|2.365|0
1996-07-09T00:00+00:00|1998-09-06T00:00+00:00|0|1000|12.647|-0.11|3.78|0
1998-09-06T00:00+00:00|2001-08-11T00:00+00:00|0|1000|12.176|-0.14|3.729|0
2001-08-11T00:00+00:00|2002-01-01T00:00+00:00|0|1000|34.083|0.145|2.566|0
2002-01-01T00:00+00:00|2003-05-02T00:00+00:00|0|1000|40.251|0.18|2.425|0
2003-05-02T00:00+00:00|2005-01-01T00:00+00:00|0|1000|30.827|0.09|2.771|0
2005-01-01T00:00+00:00|2009-04-29T00:00+00:00|0|1000|22.325|0|3.174|0
2009-04-29T00:00+00:00|2031-01-01T00:00+00:00|0|1000|21|0|3.1|0
